Optimizer,Dataset,objfname,Experiment,startTime,EndTime,ExecutionTime,trainAcc,trainTP,trainFN,trainFP,trainTN,testAcc,testTP,testFN,testFP,testTN,Iter1,Iter2,Iter3,Iter4,Iter5
GWO,BreastCancer,costNN,1,2019-11-18-22-46-25,2019-11-18-22-46-29,4.274229049682617,0.9566160520607375,287.0,14.0,6.0,154.0,0.9663865546218487,152.0,5.0,3.0,78.0,0.14831107071042968,0.11949611809930646,0.11083015567433924,0.06148502430975748,0.04520049863424832
GWO,BreastCancer,costNN,2,2019-11-18-22-46-39,2019-11-18-22-46-44,4.1732728481292725,0.9479392624728851,288.0,13.0,11.0,149.0,0.9663865546218487,152.0,5.0,3.0,78.0,0.08845655209427897,0.08845655209427897,0.07931631292980142,0.07931631292980142,0.059006502204217146
GWO,Diabetes,costNN,1,2019-11-18-22-46-54,2019-11-18-22-46-58,4.639297723770142,0.7233201581027668,60.0,112.0,28.0,306.0,0.6335877862595419,28.0,68.0,28.0,138.0,0.2513406990800662,0.21103554732546745,0.20503584442072897,0.1895590694706838,0.1895590694706838
