Optimizer,Dataset,objfname,Experiment,startTime,EndTime,ExecutionTime,trainAcc,trainTP,trainFN,trainFP,trainTN,testAcc,testTP,testFN,testFP,testTN,Iter1,Iter2,Iter3,Iter4,Iter5
GWO,BreastCancer,costNN,1,2019-11-18-23-24-49,2019-11-18-23-24-52,3.747056007385254,0.9436008676789588,282.0,19.0,7.0,153.0,0.9537815126050421,149.0,8.0,3.0,78.0,0.17544858495440752,0.11158562134207746,0.11158562134207746,0.06184733858693208,0.061077778404234846
GWO,BreastCancer,costNN,2,2019-11-18-23-25-02,2019-11-18-23-25-06,3.9937682151794434,0.9587852494577006,288.0,13.0,6.0,154.0,0.9621848739495799,153.0,4.0,5.0,76.0,0.08545323695638617,0.08545323695638617,0.08545323695638617,0.057720025166758566,0.04562707959364859
GWO,Diabetes,costNN,1,2019-11-18-23-25-16,2019-11-18-23-25-21,4.15198016166687,0.7272727272727273,77.0,95.0,43.0,291.0,0.6412213740458015,38.0,58.0,36.0,130.0,0.2215735375690751,0.2215735375690751,0.21385336445248654,0.1953577979990904,0.18528540325400325
